Date,Team,Player,Body Part
2/12/2019,Lakers,Tyson Chandler,Right Foot
3/1/2019,Lakers,Lance Stephenson,Left Foot
3/4/2019,Lakers,Brandon Ingram,Right Shoulder
3/6/2019,Lakers,Kyle Kuzma,Right Ankle
3/22/2019,Lakers,Josh Hart,Right Knee
3/22/2019,Lakers,Mike Muscala,Right Ankle
3/24/2019,Lakers,Reggie Bullock,Right Foot
3/31/2019,Lakers,Kyle Kuzma,Left Foot
4/4/2019,Lakers,Reggie Bullock,Neck
10/22/2019,Lakers,DeMarcus Cousins,Left Knee
10/22/2019,Lakers,Rajon Rondo,Right Calf
11/5/2019,Lakers,Avery Bradley,Right Leg
11/13/2019,Lakers,Anthony Davis,Right Shoulder
11/15/2019,Lakers,Avery Bradley,Right Leg
12/8/2019,Lakers,Rajon Rondo,Left Hamstring
12/11/2019,Lakers,Kyle Kuzma,Left Ankle
12/17/2019,Lakers,Anthony Davis,Right Ankle
12/22/2019,Lakers,LeBron James,Neck
1/10/2020,Lakers,Anthony Davis,Back
1/11/2020,Lakers,Danny Green,Right Hip
2/26/2020,Lakers,LeBron James,Left Groin
3/1/2020,Lakers,Anthony Davis,Right Knee
7/13/2020,Lakers,Rajon Rondo,Right Thumb
8/5/2020,Lakers,Dwight Howard,Right Knee
8/6/2020,Lakers,LeBron James,Right Groin
8/9/2020,Lakers,Kentavious Caldwell-Pope,Right Foot
8/13/2020,Lakers,Anthony Davis,Right Knee
8/25/2020,Lakers,Anthony Davis,Back
9/8/2020,Lakers,Dion Waiters,Left Groin
9/10/2020,Lakers,JaVale McGee,Left Ankle
